flow_id,classification,confidence,layer
172.224.53.6:443-192.168.1.123:60760-17,ATAQUE,0.754268467676842,1
104.18.32.187:443-192.168.1.123:51825-6,INTERNO_NORMAL,0.8734546559941716,3
192.168.1.49:56700-255.255.255.255:56700-17,ATAQUE,0.6644457189019545,1
192.168.1.49:42284-255.255.255.255:9999-17,ATAQUE,0.7509661507553435,1
192.168.1.49:5353-224.0.0.251:5353-17,ATAQUE,0.7502843325735253,1
192.168.1.49:41961-239.255.255.250:1900-17,ATAQUE,0.7584385137042107,1
192.168.1.123:5353-192.168.1.49:5353-17,ATAQUE,0.7490560676522909,1
192.168.1.62:5353-224.0.0.251:5353-17,ATAQUE,0.7005671227371068,1
104.17.107.108:443-192.168.1.123:51755-6,ATAQUE,0.6658499196394885,1
192.168.1.123:51615-35.186.224.41:443-6,ATAQUE,0.6644457189019544,1
192.168.1.123:57621-192.168.1.255:57621-17,ATAQUE,0.7322631281089016,1
192.168.1.123:51717-35.186.224.24:443-6,INTERNO_NORMAL,0.8839878345708282,3
172.224.196.135:443-192.168.1.123:54913-17,ATAQUE,0.7543005189588932,1
104.17.108.108:443-192.168.1.123:51794-6,ATAQUE,0.7912244030115075,1
192.168.1.123:58014-239.255.255.250:1900-17,ATAQUE,0.7363536167080376,1
192.168.1.123:58014-192.168.1.49:60157-17,ATAQUE,0.6644457189019545,1
192.168.1.123:58014-192.168.1.62:1900-17,ATAQUE,0.7587443848643146,1
104.199.65.9:4070-192.168.1.123:49232-6,ATAQUE,0.6644457189019544,1
192.168.1.123:51534-35.186.224.41:443-6,ATAQUE,0.8236477703506785,1
192.168.1.123:58014-192.168.1.49:40048-17,ATAQUE,0.8236477703506785,1
192.168.1.123:58014-192.168.1.49:60455-17,ATAQUE,0.7583684450146907,1
